"Model","GPRS","2G bands","Speed","3G bands","EDGE","Technology","Status","SIM","4G bands","Announced","Dimensions","Weight","Resolution","Multitouch","Type","Size","Chipset","OS","CPU","GPU","Internal","Card slot","Secondary","Video","Primary","Features","Loudspeaker","3.5mm jack","Alert types","WLAN","USB","Infrared port","Bluetooth","Radio","GPS","Messaging","Sensors","Java","Browser","Talk time","Stand-by","Music play","Price group","Colors","Battery life","Camera","Audio quality","Performance","Display","Phonebook","Call records","Games","SAR EU","SAR US","Protection","Keyboard","NFC"
"BlackBerry Pearl 3G 9105","HSPA 3.6/0.384 Mbps","GSM 850 / 900 / 1800 / 1900 ","HSDPA 900 / 1700 / 2100 ","HSDPA 850 / 1900 / 2100 ","Class 10","GSM / HSPA","Available. Released 2010, April","Mini-SIM","","2010, April","108 x 50 x 13.3 mm (4.25 x 1.97 x 0.52 in)","93.6 g (3.28 oz)","360 x 400 pixels (~239 ppi pixel density)","","TFT, 256K colors","2.25 inches (~30.1% screen-to-body ratio)","","BlackBerry OS 5, upgradable","624 MHz","","256 MB","microSD, up to 32 GB, 2 GB included","No","480p@30fps","3.15 MP, 2048 x 1536 pixels, autofocus, LED flash, ","Geo-tagging","
","Yes","Vibration; MP3, WAV ringtones","Yes, Wi-Fi 802.11b/g/n","microUSB v2.0","","v2.1, A2DP","No","Yes, with A-GPS","SMS, MMS, Email, Push Email, IM","","Yes, MIDP 2.1","HTML","Up to 432 h (2G) / Up to 312 h (3G)","Li-Ion 1150 mAh battery","Up to 5 h 30 min (2G) / Up to 5 h (3G)","<a href=""#"">2/10</a>","Piano Black, Opal Pink, Royal Purple, Flash White, Red Gradient","","
","
","","","","","","
1.67 W/kg (head)     1.03 W/kg (body)     ","
1.37 W/kg (head)     1.06 W/kg (body)     ","","",""
"BlackBerry Pearl 3G 9105","HSPA 3.6/0.384 Mbps","GSM 850 / 900 / 1800 / 1900 ","HSDPA 900 / 1700 / 2100 ","HSDPA 850 / 1900 / 2100 ","Class 10","GSM / HSPA","Available. Released 2010, April","Mini-SIM","","2010, April","108 x 50 x 13.3 mm (4.25 x 1.97 x 0.52 in)","93.6 g (3.28 oz)","360 x 400 pixels (~239 ppi pixel density)","","TFT, 256K colors","2.25 inches (~30.1% screen-to-body ratio)","","BlackBerry OS 5, upgradable","624 MHz","","256 MB","microSD, up to 32 GB, 2 GB included","No","480p@30fps","3.15 MP, 2048 x 1536 pixels, autofocus, LED flash, ","Geo-tagging","
","Yes","Vibration; MP3, WAV ringtones","Yes, Wi-Fi 802.11b/g/n","microUSB v2.0","","v2.1, A2DP","No","Yes, with A-GPS","SMS, MMS, Email, Push Email, IM","","Yes, MIDP 2.1","HTML","Up to 432 h (2G) / Up to 312 h (3G)","Li-Ion 1150 mAh battery","Up to 5 h 30 min (2G) / Up to 5 h (3G)","<a href=""#"">2/10</a>","Piano Black, Opal Pink, Royal Purple, Flash White, Red Gradient","","
","
","","","","","","
1.67 W/kg (head)     1.03 W/kg (body)     ","
1.37 W/kg (head)     1.06 W/kg (body)     ","","",""
"BlackBerry Pearl 8100","Yes","GSM 850 / 900 / 1800 / 1900 ","","","Yes","GSM","Discontinued","Mini-SIM","","2006, September","107 x 50 x 14.5 mm (4.21 x 1.97 x 0.57 in)","89.5 g (3.14 oz)","240 x 260 pixels (~161 ppi pixel density)","","65K colors","2.2 inches (~29.1% screen-to-body ratio)","","BlackBerry OS","32-bit Intel XScale PXA272 312 MHz","","64 MB","microSD","No","No","1.3 MP, 1280 x 1024 pixels, LED flash","","Yes","No","Vibration; Downloadable polyphonic, MP3 ringtones","No","Yes","","v2.0","No","No","SMS, MMS, Email, Instant Messaging","","Yes","HTML","Up to 360 h","Li-Ion 900 mAh battery","","<a href=""#"">4/10</a>","Black, White, Red","","","","","","","","","","","","QWERTY",""
"BlackBerry Pearl 8100","Yes","GSM 850 / 900 / 1800 / 1900 ","","","Yes","GSM","Discontinued","Mini-SIM","","2006, September","107 x 50 x 14.5 mm (4.21 x 1.97 x 0.57 in)","89.5 g (3.14 oz)","240 x 260 pixels (~161 ppi pixel density)","","65K colors","2.2 inches (~29.1% screen-to-body ratio)","","BlackBerry OS","32-bit Intel XScale PXA272 312 MHz","","64 MB","microSD","No","No","1.3 MP, 1280 x 1024 pixels, LED flash","","Yes","No","Vibration; Downloadable polyphonic, MP3 ringtones","No","Yes","","v2.0","No","No","SMS, MMS, Email, Instant Messaging","","Yes","HTML","Up to 360 h","Li-Ion 900 mAh battery","","<a href=""#"">4/10</a>","Black, White, Red","","","","","","","","","","","","QWERTY",""
"BlackBerry Pearl 8100","Yes","GSM 850 / 900 / 1800 / 1900 ","","","Yes","GSM","Discontinued","Mini-SIM","","2006, September","107 x 50 x 14.5 mm (4.21 x 1.97 x 0.57 in)","89.5 g (3.14 oz)","240 x 260 pixels (~161 ppi pixel density)","","65K colors","2.2 inches (~29.1% screen-to-body ratio)","","BlackBerry OS","32-bit Intel XScale PXA272 312 MHz","","64 MB","microSD","No","No","1.3 MP, 1280 x 1024 pixels, LED flash","","Yes","No","Vibration; Downloadable polyphonic, MP3 ringtones","No","Yes","","v2.0","No","No","SMS, MMS, Email, Instant Messaging","","Yes","HTML","Up to 360 h","Li-Ion 900 mAh battery","","<a href=""#"">4/10</a>","Black, White, Red","","","","","","","","","","","","QWERTY",""
"BlackBerry Pearl 8100","Yes","GSM 850 / 900 / 1800 / 1900 ","","","Yes","GSM","Discontinued","Mini-SIM","","2006, September","107 x 50 x 14.5 mm (4.21 x 1.97 x 0.57 in)","89.5 g (3.14 oz)","240 x 260 pixels (~161 ppi pixel density)","","65K colors","2.2 inches (~29.1% screen-to-body ratio)","","BlackBerry OS","32-bit Intel XScale PXA272 312 MHz","","64 MB","microSD","No","No","1.3 MP, 1280 x 1024 pixels, LED flash","","Yes","No","Vibration; Downloadable polyphonic, MP3 ringtones","No","Yes","","v2.0","No","No","SMS, MMS, Email, Instant Messaging","","Yes","HTML","Up to 360 h","Li-Ion 900 mAh battery","","<a href=""#"">4/10</a>","Black, White, Red","","","","","","","","","","","","QWERTY",""
"BlackBerry Pearl 8100","Yes","GSM 850 / 900 / 1800 / 1900 ","","","Yes","GSM","Discontinued","Mini-SIM","","2006, September","107 x 50 x 14.5 mm (4.21 x 1.97 x 0.57 in)","89.5 g (3.14 oz)","240 x 260 pixels (~161 ppi pixel density)","","65K colors","2.2 inches (~29.1% screen-to-body ratio)","","BlackBerry OS","32-bit Intel XScale PXA272 312 MHz","","64 MB","microSD","No","No","1.3 MP, 1280 x 1024 pixels, LED flash","","Yes","No","Vibration; Downloadable polyphonic, MP3 ringtones","No","Yes","","v2.0","No","No","SMS, MMS, Email, Instant Messaging","","Yes","HTML","Up to 360 h","Li-Ion 900 mAh battery","","<a href=""#"">4/10</a>","Black, White, Red","","","","","","","","","","","","QWERTY",""
"BlackBerry Pearl 8120","Class 10","GSM 850 / 900 / 1800 / 1900 ","","","Class 10","GSM","Discontinued","Mini-SIM","","2007, October","107 x 50 x 14 mm (4.21 x 1.97 x 0.55 in)","91 g (3.21 oz)","240 x 260 pixels (~161 ppi pixel density)","","65K colors","2.2 inches (~29.1% screen-to-body ratio)","","BlackBerry OS","32-bit Intel XScale PXA272 312 MHz","","32 MB RAM, 64 MB ROM","microSD, up to 4 GB","No","Yes","2 MP, 1600 x 1200 pixels, LED flash","","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11b/g","miniUSB v2.0","","v2.0","No","No","SMS, MMS, Email, IM","","Yes","HTML","Up to 360 h","Li-Ion 900 mAh battery","","<a href=""#"">2/10</a>","Titanium, Blue, Sunset","","","","","","","","","
1.26 W/kg (head)     1.01 W/kg (body)     ","
1.48 W/kg (head)     1.39 W/kg (body)     ","","Half-QWERTY",""
"BlackBerry Pearl Flip 8220","Class 10","GSM 850 / 900 / 1800 / 1900 ","","","Class 10","GSM","Discontinued","Mini-SIM","","2008, September. Released 2008, October","101.1 x 50 x 17.5 mm (3.98 x 1.97 x 0.69 in)","102 g (3.60 oz)","240 x 320 pixels (~154 ppi pixel density)","","65K colors","2.6 inches (~41.4% screen-to-body ratio)","","BlackBerry OS","32-bit Intel XScale PXA272 312 MHz","","75 MB","microSD, up to 8 GB","No","Yes","2 MP, 1600 x 1200 pixels, LED flash","","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g","microUSB v2.0","","v2.0, A2DP","No","No","SMS, MMS, Email, IM","","Yes, MIDP 2.0","HTML","Up to 336 h","Li-Ion 900 mAh battery","","<a href=""#"">3/10</a>","Black","","","","","","","","","
0.66 W/kg (head)     0.54 W/kg (body)     ","
1.15 W/kg (head)     1.18 W/kg (body)     ","","Half-QWERTY",""
"BlackBerry Pearl Flip 8220","Class 10","GSM 850 / 900 / 1800 / 1900 ","","","Class 10","GSM","Discontinued","Mini-SIM","","2008, September. Released 2008, October","101.1 x 50 x 17.5 mm (3.98 x 1.97 x 0.69 in)","102 g (3.60 oz)","240 x 320 pixels (~154 ppi pixel density)","","65K colors","2.6 inches (~41.4% screen-to-body ratio)","","BlackBerry OS","32-bit Intel XScale PXA272 312 MHz","","75 MB","microSD, up to 8 GB","No","Yes","2 MP, 1600 x 1200 pixels, LED flash","","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g","microUSB v2.0","","v2.0, A2DP","No","No","SMS, MMS, Email, IM","","Yes, MIDP 2.0","HTML","Up to 336 h","Li-Ion 900 mAh battery","","<a href=""#"">3/10</a>","Black","","","","","","","","","
0.66 W/kg (head)     0.54 W/kg (body)     ","
1.15 W/kg (head)     1.18 W/kg (body)     ","","Half-QWERTY",""
"BlackBerry Storm 9500","Class 10","GSM 850 / 900 / 1800 / 1900 ","HSPA 7.2/0.384 Mbps","HSDPA 2100 ","Class 10","GSM / HSPA","Discontinued","Mini-SIM","","2008, September. Released 2008, November","112.5 x 62.2 x 14 mm (4.43 x 2.45 x 0.55 in)","155 g (5.47 oz)","360 x 480 pixels (~185 ppi pixel density)","","TFT capacitive touchscreen, 65K colors","3.25 inches (~46.7% screen-to-body ratio)","Qualcomm MSM7600","BlackBerry OS","528 MHz ARM 11","Adreno 130","1 GB, 128 MB RAM, 192 MB ROM","microSD, up to 16 GB, 8 GB included","No","320p","3.15 MP, 2048 x 1536 pixels, autofocus, LED flash","Geo-tagging","
","Yes","Vibration; MP3, WAV ringtones","No","microUSB v2.0","","v2.0, A2DP","No","Yes, with A-GPS","SMS, MMS, Email, IM","Accelerometer","Yes","HTML","Up to 360 h","Li-Ion 1400 mAh battery","","<a href=""#"">2/10</a>","Black","","","
","","","","","","
0.47 W/kg (head)     0.27 W/kg (body)     ","
0.57 W/kg (head)     0.50 W/kg (body)     ","","",""
"BlackBerry Storm 9500","Class 10","GSM 850 / 900 / 1800 / 1900 ","HSPA 7.2/0.384 Mbps","HSDPA 2100 ","Class 10","GSM / HSPA","Discontinued","Mini-SIM","","2008, September. Released 2008, November","112.5 x 62.2 x 14 mm (4.43 x 2.45 x 0.55 in)","155 g (5.47 oz)","360 x 480 pixels (~185 ppi pixel density)","","TFT capacitive touchscreen, 65K colors","3.25 inches (~46.7% screen-to-body ratio)","Qualcomm MSM7600","BlackBerry OS","528 MHz ARM 11","Adreno 130","1 GB, 128 MB RAM, 192 MB ROM","microSD, up to 16 GB, 8 GB included","No","320p","3.15 MP, 2048 x 1536 pixels, autofocus, LED flash","Geo-tagging","
","Yes","Vibration; MP3, WAV ringtones","No","microUSB v2.0","","v2.0, A2DP","No","Yes, with A-GPS","SMS, MMS, Email, IM","Accelerometer","Yes","HTML","Up to 360 h","Li-Ion 1400 mAh battery","","<a href=""#"">2/10</a>","Black","","","
","","","","","","
0.47 W/kg (head)     0.27 W/kg (body)     ","
0.57 W/kg (head)     0.50 W/kg (body)     ","","",""
"BlackBerry Storm 9530","HSPA 7.2/0.384 Mbps","GSM 850 / 900 / 1800 / 1900 "," CDMA2000 1x EV-DO","HSDPA 2100 ","Class 10","GSM / HSPA","Discontinued","Mini-SIM","","2008, September. Released 2008, November","112.5 x 62.2 x 14 mm (4.43 x 2.45 x 0.55 in)","155 g (5.47 oz)","360 x 480 pixels (~185 ppi pixel density)","","TFT capacitive touchscreen, 65K colors","3.25 inches (~46.7% screen-to-body ratio)","Qualcomm MSM7600","BlackBerry OS","528 MHz ARM 11","Adreno 130","1 GB, 128 MB RAM, 192 MB ROM","microSD, up to 16 GB","No","320p","3.15 MP, 2048 x 1536 pixels, autofocus, LED flash","Geo-tagging","Yes","Yes","Vibration; MP3, WAV ringtones","No","microUSB v2.0","","v2.0, A2DP","No","Yes, with A-GPS","SMS, MMS, Email, IM","Accelerometer","Yes","HTML","Up to 360 h","Li-Ion 1400 mAh battery","","<a href=""#"">2/10</a>","Black","","","","","","","","","
0.67 W/kg (head)     0.38 W/kg (body)     ","
0.93 W/kg (head)     0.56 W/kg (body)     ","","",""
"BlackBerry Storm 9530","HSPA 7.2/0.384 Mbps","GSM 850 / 900 / 1800 / 1900 "," CDMA2000 1x EV-DO","HSDPA 2100 ","Class 10","GSM / HSPA","Discontinued","Mini-SIM","","2008, September. Released 2008, November","112.5 x 62.2 x 14 mm (4.43 x 2.45 x 0.55 in)","155 g (5.47 oz)","360 x 480 pixels (~185 ppi pixel density)","","TFT capacitive touchscreen, 65K colors","3.25 inches (~46.7% screen-to-body ratio)","Qualcomm MSM7600","BlackBerry OS","528 MHz ARM 11","Adreno 130","1 GB, 128 MB RAM, 192 MB ROM","microSD, up to 16 GB","No","320p","3.15 MP, 2048 x 1536 pixels, autofocus, LED flash","Geo-tagging","Yes","Yes","Vibration; MP3, WAV ringtones","No","microUSB v2.0","","v2.0, A2DP","No","Yes, with A-GPS","SMS, MMS, Email, IM","Accelerometer","Yes","HTML","Up to 360 h","Li-Ion 1400 mAh battery","","<a href=""#"">2/10</a>","Black","","","","","","","","","
0.67 W/kg (head)     0.38 W/kg (body)     ","
0.93 W/kg (head)     0.56 W/kg (body)     ","","",""
"BlackBerry Storm2 9520","Class 10","GSM 850 / 900 / 1800 / 1900 ","HSPA 7.2/2 Mbps","HSDPA 2100 ","Class 10","GSM / HSPA","Available. Released 2009, November","Mini-SIM","","2009, October","112.5 x 62.2 x 14 mm (4.43 x 2.45 x 0.55 in)","160 g (5.64 oz)","360 x 480 pixels (~185 ppi pixel density)","","TFT capacitive touchscreen, 65K colors","3.25 inches (~46.7% screen-to-body ratio)","","BlackBerry OS","","","2 GB","microSD, up to 16 GB","No","Yes","3.15 MP, 2048 x 1536 pixels, autofocus, LED flash","Geo-tagging","
","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g","microUSB v2.0","","v2.1, A2DP","No","Yes, with A-GPS","SMS, MMS, Email, IM","Accelerometer","Yes","HTML","Up to 305 h (2G) / Up to 280 h (3G)","Li-Ion 1400 mAh battery","","<a href=""#"">2/10</a>","Black","","","
","","","","","","
1.02 W/kg (head)     0.53 W/kg (body)     ","
0.97 W/kg (head)     0.60 W/kg (body)     ","","",""
"BlackBerry Torch 9800","Class 10","GSM 850 / 900 / 1800 / 1900 ","HSPA","HSDPA 850 / 1900 / 2100 /800","Class 10","GSM / HSPA","Available. Released 2010, August","Mini-SIM","","2010, August","111 x 62 x 14.6 mm (4.37 x 2.44 x 0.57 in)","161 g (5.68 oz)","360 x 480 pixels (~188 ppi pixel density)","Yes","TFT capacitive touchscreen, 16M colors","3.2 inches (~46.1% screen-to-body ratio)","","BlackBerry OS 6.0","624 MHz","","4 GB, 512 MB RAM, 512 MB ROM","microSD, up to 32 GB, 4 GB included","No","480p@24fps","5 MP, 2592 х 1944 pixels, autofocus, LED flash, ","Geo-tagging","
","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g/n, UMA (carrier-dependent)","microUSB v2.0","","v2.1, A2DP","No","Yes, with A-GPS","SMS, MMS, Email, Push Email, IM","Proximity","Yes, MIDP 2.0","HTML","Up to 432 h (2G) / Up to 336 h (3G)","Li-Ion 1300 mAh battery","Up to 5 h 30 min (2G) / Up to 5 h 40 min (3G)","<a href=""#"">3/10</a>","Black, White, Dark Orange","","
","
","","","","","","
0.86 W/kg (head)     0.81 W/kg (body)     ","
0.91 W/kg (head)     0.68 W/kg (body)     ","","QWERTY",""
"BlackBerry Torch 9800","Class 10","GSM 850 / 900 / 1800 / 1900 ","HSPA","HSDPA 850 / 1900 / 2100 /800","Class 10","GSM / HSPA","Available. Released 2010, August","Mini-SIM","","2010, August","111 x 62 x 14.6 mm (4.37 x 2.44 x 0.57 in)","161 g (5.68 oz)","360 x 480 pixels (~188 ppi pixel density)","Yes","TFT capacitive touchscreen, 16M colors","3.2 inches (~46.1% screen-to-body ratio)","","BlackBerry OS 6.0","624 MHz","","4 GB, 512 MB RAM, 512 MB ROM","microSD, up to 32 GB, 4 GB included","No","480p@24fps","5 MP, 2592 х 1944 pixels, autofocus, LED flash, ","Geo-tagging","
","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g/n, UMA (carrier-dependent)","microUSB v2.0","","v2.1, A2DP","No","Yes, with A-GPS","SMS, MMS, Email, Push Email, IM","Proximity","Yes, MIDP 2.0","HTML","Up to 432 h (2G) / Up to 336 h (3G)","Li-Ion 1300 mAh battery","Up to 5 h 30 min (2G) / Up to 5 h 40 min (3G)","<a href=""#"">3/10</a>","Black, White, Dark Orange","","
","
","","","","","","
0.86 W/kg (head)     0.81 W/kg (body)     ","
0.91 W/kg (head)     0.68 W/kg (body)     ","","QWERTY",""
"BlackBerry Torch 9800","Class 10","GSM 850 / 900 / 1800 / 1900 ","HSPA","HSDPA 850 / 1900 / 2100 /800","Class 10","GSM / HSPA","Available. Released 2010, August","Mini-SIM","","2010, August","111 x 62 x 14.6 mm (4.37 x 2.44 x 0.57 in)","161 g (5.68 oz)","360 x 480 pixels (~188 ppi pixel density)","Yes","TFT capacitive touchscreen, 16M colors","3.2 inches (~46.1% screen-to-body ratio)","","BlackBerry OS 6.0","624 MHz","","4 GB, 512 MB RAM, 512 MB ROM","microSD, up to 32 GB, 4 GB included","No","480p@24fps","5 MP, 2592 х 1944 pixels, autofocus, LED flash, ","Geo-tagging","
","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g/n, UMA (carrier-dependent)","microUSB v2.0","","v2.1, A2DP","No","Yes, with A-GPS","SMS, MMS, Email, Push Email, IM","Proximity","Yes, MIDP 2.0","HTML","Up to 432 h (2G) / Up to 336 h (3G)","Li-Ion 1300 mAh battery","Up to 5 h 30 min (2G) / Up to 5 h 40 min (3G)","<a href=""#"">3/10</a>","Black, White, Dark Orange","","
","
","","","","","","
0.86 W/kg (head)     0.81 W/kg (body)     ","
0.91 W/kg (head)     0.68 W/kg (body)     ","","QWERTY",""
"BlackBerry Torch 9800","Class 10","GSM 850 / 900 / 1800 / 1900 ","HSPA","HSDPA 850 / 1900 / 2100 /800","Class 10","GSM / HSPA","Available. Released 2010, August","Mini-SIM","","2010, August","111 x 62 x 14.6 mm (4.37 x 2.44 x 0.57 in)","161 g (5.68 oz)","360 x 480 pixels (~188 ppi pixel density)","Yes","TFT capacitive touchscreen, 16M colors","3.2 inches (~46.1% screen-to-body ratio)","","BlackBerry OS 6.0","624 MHz","","4 GB, 512 MB RAM, 512 MB ROM","microSD, up to 32 GB, 4 GB included","No","480p@24fps","5 MP, 2592 х 1944 pixels, autofocus, LED flash, ","Geo-tagging","
","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g/n, UMA (carrier-dependent)","microUSB v2.0","","v2.1, A2DP","No","Yes, with A-GPS","SMS, MMS, Email, Push Email, IM","Proximity","Yes, MIDP 2.0","HTML","Up to 432 h (2G) / Up to 336 h (3G)","Li-Ion 1300 mAh battery","Up to 5 h 30 min (2G) / Up to 5 h 40 min (3G)","<a href=""#"">3/10</a>","Black, White, Dark Orange","","
","
","","","","","","
0.86 W/kg (head)     0.81 W/kg (body)     ","
0.91 W/kg (head)     0.68 W/kg (body)     ","","QWERTY",""
"BlackBerry Torch 9800","Class 10","GSM 850 / 900 / 1800 / 1900 ","HSPA","HSDPA 850 / 1900 / 2100 /800","Class 10","GSM / HSPA","Available. Released 2010, August","Mini-SIM","","2010, August","111 x 62 x 14.6 mm (4.37 x 2.44 x 0.57 in)","161 g (5.68 oz)","360 x 480 pixels (~188 ppi pixel density)","Yes","TFT capacitive touchscreen, 16M colors","3.2 inches (~46.1% screen-to-body ratio)","","BlackBerry OS 6.0","624 MHz","","4 GB, 512 MB RAM, 512 MB ROM","microSD, up to 32 GB, 4 GB included","No","480p@24fps","5 MP, 2592 х 1944 pixels, autofocus, LED flash, ","Geo-tagging","
","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g/n, UMA (carrier-dependent)","microUSB v2.0","","v2.1, A2DP","No","Yes, with A-GPS","SMS, MMS, Email, Push Email, IM","Proximity","Yes, MIDP 2.0","HTML","Up to 432 h (2G) / Up to 336 h (3G)","Li-Ion 1300 mAh battery","Up to 5 h 30 min (2G) / Up to 5 h 40 min (3G)","<a href=""#"">3/10</a>","Black, White, Dark Orange","","
","
","","","","","","
0.86 W/kg (head)     0.81 W/kg (body)     ","
0.91 W/kg (head)     0.68 W/kg (body)     ","","QWERTY",""
"BlackBerry Torch 9800","Class 10","GSM 850 / 900 / 1800 / 1900 ","HSPA","HSDPA 850 / 1900 / 2100 /800","Class 10","GSM / HSPA","Available. Released 2010, August","Mini-SIM","","2010, August","111 x 62 x 14.6 mm (4.37 x 2.44 x 0.57 in)","161 g (5.68 oz)","360 x 480 pixels (~188 ppi pixel density)","Yes","TFT capacitive touchscreen, 16M colors","3.2 inches (~46.1% screen-to-body ratio)","","BlackBerry OS 6.0","624 MHz","","4 GB, 512 MB RAM, 512 MB ROM","microSD, up to 32 GB, 4 GB included","No","480p@24fps","5 MP, 2592 х 1944 pixels, autofocus, LED flash, ","Geo-tagging","
","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g/n, UMA (carrier-dependent)","microUSB v2.0","","v2.1, A2DP","No","Yes, with A-GPS","SMS, MMS, Email, Push Email, IM","Proximity","Yes, MIDP 2.0","HTML","Up to 432 h (2G) / Up to 336 h (3G)","Li-Ion 1300 mAh battery","Up to 5 h 30 min (2G) / Up to 5 h 40 min (3G)","<a href=""#"">3/10</a>","Black, White, Dark Orange","","
","
","","","","","","
0.86 W/kg (head)     0.81 W/kg (body)     ","
0.91 W/kg (head)     0.68 W/kg (body)     ","","QWERTY",""
"BlackBerry Torch 9800","Class 10","GSM 850 / 900 / 1800 / 1900 ","HSPA","HSDPA 850 / 1900 / 2100 /800","Class 10","GSM / HSPA","Available. Released 2010, August","Mini-SIM","","2010, August","111 x 62 x 14.6 mm (4.37 x 2.44 x 0.57 in)","161 g (5.68 oz)","360 x 480 pixels (~188 ppi pixel density)","Yes","TFT capacitive touchscreen, 16M colors","3.2 inches (~46.1% screen-to-body ratio)","","BlackBerry OS 6.0","624 MHz","","4 GB, 512 MB RAM, 512 MB ROM","microSD, up to 32 GB, 4 GB included","No","480p@24fps","5 MP, 2592 х 1944 pixels, autofocus, LED flash, ","Geo-tagging","
","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g/n, UMA (carrier-dependent)","microUSB v2.0","","v2.1, A2DP","No","Yes, with A-GPS","SMS, MMS, Email, Push Email, IM","Proximity","Yes, MIDP 2.0","HTML","Up to 432 h (2G) / Up to 336 h (3G)","Li-Ion 1300 mAh battery","Up to 5 h 30 min (2G) / Up to 5 h 40 min (3G)","<a href=""#"">3/10</a>","Black, White, Dark Orange","","
","
","","","","","","
0.86 W/kg (head)     0.81 W/kg (body)     ","
0.91 W/kg (head)     0.68 W/kg (body)     ","","QWERTY",""
"BlackBerry Torch 9800","Class 10","GSM 850 / 900 / 1800 / 1900 ","HSPA","HSDPA 850 / 1900 / 2100 /800","Class 10","GSM / HSPA","Available. Released 2010, August","Mini-SIM","","2010, August","111 x 62 x 14.6 mm (4.37 x 2.44 x 0.57 in)","161 g (5.68 oz)","360 x 480 pixels (~188 ppi pixel density)","Yes","TFT capacitive touchscreen, 16M colors","3.2 inches (~46.1% screen-to-body ratio)","","BlackBerry OS 6.0","624 MHz","","4 GB, 512 MB RAM, 512 MB ROM","microSD, up to 32 GB, 4 GB included","No","480p@24fps","5 MP, 2592 х 1944 pixels, autofocus, LED flash, ","Geo-tagging","
","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g/n, UMA (carrier-dependent)","microUSB v2.0","","v2.1, A2DP","No","Yes, with A-GPS","SMS, MMS, Email, Push Email, IM","Proximity","Yes, MIDP 2.0","HTML","Up to 432 h (2G) / Up to 336 h (3G)","Li-Ion 1300 mAh battery","Up to 5 h 30 min (2G) / Up to 5 h 40 min (3G)","<a href=""#"">3/10</a>","Black, White, Dark Orange","","
","
","","","","","","
0.86 W/kg (head)     0.81 W/kg (body)     ","
0.91 W/kg (head)     0.68 W/kg (body)     ","","QWERTY",""
"BlackBerry Torch 9800","Class 10","GSM 850 / 900 / 1800 / 1900 ","HSPA","HSDPA 850 / 1900 / 2100 /800","Class 10","GSM / HSPA","Available. Released 2010, August","Mini-SIM","","2010, August","111 x 62 x 14.6 mm (4.37 x 2.44 x 0.57 in)","161 g (5.68 oz)","360 x 480 pixels (~188 ppi pixel density)","Yes","TFT capacitive touchscreen, 16M colors","3.2 inches (~46.1% screen-to-body ratio)","","BlackBerry OS 6.0","624 MHz","","4 GB, 512 MB RAM, 512 MB ROM","microSD, up to 32 GB, 4 GB included","No","480p@24fps","5 MP, 2592 х 1944 pixels, autofocus, LED flash, ","Geo-tagging","
","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g/n, UMA (carrier-dependent)","microUSB v2.0","","v2.1, A2DP","No","Yes, with A-GPS","SMS, MMS, Email, Push Email, IM","Proximity","Yes, MIDP 2.0","HTML","Up to 432 h (2G) / Up to 336 h (3G)","Li-Ion 1300 mAh battery","Up to 5 h 30 min (2G) / Up to 5 h 40 min (3G)","<a href=""#"">3/10</a>","Black, White, Dark Orange","","
","
","","","","","","
0.86 W/kg (head)     0.81 W/kg (body)     ","
0.91 W/kg (head)     0.68 W/kg (body)     ","","QWERTY",""
"BlackBerry Torch 9800","Class 10","GSM 850 / 900 / 1800 / 1900 ","HSPA","HSDPA 850 / 1900 / 2100 /800","Class 10","GSM / HSPA","Available. Released 2010, August","Mini-SIM","","2010, August","111 x 62 x 14.6 mm (4.37 x 2.44 x 0.57 in)","161 g (5.68 oz)","360 x 480 pixels (~188 ppi pixel density)","Yes","TFT capacitive touchscreen, 16M colors","3.2 inches (~46.1% screen-to-body ratio)","","BlackBerry OS 6.0","624 MHz","","4 GB, 512 MB RAM, 512 MB ROM","microSD, up to 32 GB, 4 GB included","No","480p@24fps","5 MP, 2592 х 1944 pixels, autofocus, LED flash, ","Geo-tagging","
","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g/n, UMA (carrier-dependent)","microUSB v2.0","","v2.1, A2DP","No","Yes, with A-GPS","SMS, MMS, Email, Push Email, IM","Proximity","Yes, MIDP 2.0","HTML","Up to 432 h (2G) / Up to 336 h (3G)","Li-Ion 1300 mAh battery","Up to 5 h 30 min (2G) / Up to 5 h 40 min (3G)","<a href=""#"">3/10</a>","Black, White, Dark Orange","","
","
","","","","","","
0.86 W/kg (head)     0.81 W/kg (body)     ","
0.91 W/kg (head)     0.68 W/kg (body)     ","","QWERTY",""
